view,field,your_value,source_or_assumption
period,Review dates and accounting basis,,
period,Link to accounts and existing customer / business review,,
work,Role and required output,,
work,Actual hours and source,,
work,Economic allowance or replacement estimate and included costs,,
work,Dated rate evidence and uncertainty range,,
work,Owner remuneration already recognised for the same work,,
work,Management adjustment avoiding double counting,,
work,Economic remainder after all period costs,,
payment,Actual owner receipts and dates in review period,,
payment,Proposed payment date and accounting treatment,,
payment,Total associated business cash outflow,,
payment,Amount reaching household,,
payment,Link to complete dated business cash forecast,,
payment,Chosen cash floor and reason,,
payment,Lowest forecast balance and date,,
payment,Delayed-receipt test and lowest balance,,
payment,Obligations beyond forecast horizon,,
decision,Change to scope / price / process / commitment,,
decision,Assumption and evidence needed,,
decision,Limit on further money and hours,,
decision,External support if relied on,,
decision,Next review date and change condition,,
