view,field,your_value,source_or_assumption
session,Date and selling location,,
session,Product or line,,
session,Currency and tax treatment,,
stock,Opening units,,
stock,Units purchased and unit cost,,
stock,Units sold and selling price,,
stock,Damaged / gifted / private-use units with explanation,,
stock,Closing physical units and cost,,
stock,Unexplained difference,,
profit,Sales less refunds,,
profit,Cost of units sold,,
profit,Other session costs and stock losses,,
profit,Profit before owner labour and tax,,
cash,Opening available cash,,
cash,Customer receipts received,,
cash,Stock payments made,,
cash,Other payments made,,
cash,Owner drawings,,
cash,Closing available cash,,
cash,Unexplained difference from actual balance,,
time,All owner hours,,
time,Chosen hourly allowance,,
time,Profit less owner-time allowance,,
evidence,Unfilled requests / stockouts,,
evidence,Customer results / complaints / unknowns,,
next order,Current supplier quote and date,,
next order,Saleable stock already held,,
next order,Proposed quantity / cost / payment date,,
next order,Smaller quantity / cost / payment date,,
next order,Other payments and dates before next receipts,,
next order,Expected receipt dates and assumptions,,
next order,Chosen minimum cash balance,,
next order,Lowest dated cash balance for each option,,
next order,Missed-session or other setback result,,
decision,Chosen order and reason,,
decision,Assumption that would change decision,,
decision,Next review date before commitment,,
